key_id,tournament_id,tournament_name,team_id,team_name,team_code,count_matches,performance,year
1,WC-1930,1930 FIFA World Cup,T-03,Argentina,ARG,5,final,1930
2,WC-1930,1930 FIFA World Cup,T-06,Belgium,BEL,2,group stage,1930
3,WC-1930,1930 FIFA World Cup,T-07,Bolivia,BOL,2,group stage,1930
4,WC-1930,1930 FIFA World Cup,T-09,Brazil,BRA,2,group stage,1930
5,WC-1930,1930 FIFA World Cup,T-13,Chile,CHL,3,group stage,1930
6,WC-1930,1930 FIFA World Cup,T-28,France,FRA,3,group stage,1930
7,WC-1930,1930 FIFA World Cup,T-44,Mexico,MEX,3,group stage,1930
8,WC-1930,1930 FIFA World Cup,T-53,Paraguay,PRY,2,group stage,1930
9,WC-1930,1930 FIFA World Cup,T-54,Peru,PER,2,group stage,1930
10,WC-1930,1930 FIFA World Cup,T-58,Romania,ROU,2,group stage,1930
11,WC-1930,1930 FIFA World Cup,T-79,United States,USA,3,semi-finals,1930
12,WC-1930,1930 FIFA World Cup,T-80,Uruguay,URY,4,final,1930
13,WC-1930,1930 FIFA World Cup,T-83,Yugoslavia,YUG,3,semi-finals,1930
14,WC-1934,1934 FIFA World Cup,T-03,Argentina,ARG,1,round of 16,1934
15,WC-1934,1934 FIFA World Cup,T-05,Austria,AUT,4,third-place match,1934
16,WC-1934,1934 FIFA World Cup,T-06,Belgium,BEL,1,round of 16,1934
17,WC-1934,1934 FIFA World Cup,T-09,Brazil,BRA,1,round of 16,1934
18,WC-1934,1934 FIFA World Cup,T-20,Czechoslovakia,CSK,4,final,1934
19,WC-1934,1934 FIFA World Cup,T-25,Egypt,EGY,1,round of 16,1934
20,WC-1934,1934 FIFA World Cup,T-28,France,FRA,1,round of 16,1934
21,WC-1934,1934 FIFA World Cup,T-29,Germany,DEU,4,third-place match,1934
22,WC-1934,1934 FIFA World Cup,T-34,Hungary,HUN,2,quarter-finals,1934
23,WC-1934,1934 FIFA World Cup,T-39,Italy,ITA,5,final,1934
24,WC-1934,1934 FIFA World Cup,T-46,Netherlands,NLD,1,round of 16,1934
25,WC-1934,1934 FIFA World Cup,T-58,Romania,ROU,1,round of 16,1934
26,WC-1934,1934 FIFA World Cup,T-70,Spain,ESP,3,quarter-finals,1934
27,WC-1934,1934 FIFA World Cup,T-71,Sweden,SWE,2,quarter-finals,1934
28,WC-1934,1934 FIFA World Cup,T-72,Switzerland,CHE,2,quarter-finals,1934
29,WC-1934,1934 FIFA World Cup,T-79,United States,USA,1,round of 16,1934
30,WC-1938,1938 FIFA World Cup,T-06,Belgium,BEL,1,round of 16,1938
31,WC-1938,1938 FIFA World Cup,T-09,Brazil,BRA,5,third-place match,1938
32,WC-1938,1938 FIFA World Cup,T-18,Cuba,CUB,3,quarter-finals,1938
33,WC-1938,1938 FIFA World Cup,T-20,Czechoslovakia,CSK,3,quarter-finals,1938
34,WC-1938,1938 FIFA World Cup,T-22,Dutch East Indies,IDN,1,round of 16,1938
